Anc	Der	PanelFreqA	PanelFreqB	Num
27	0	0.45	0.9	3
27	0	0.45	0.95	2
27	0	0.45	1.0	1
27	0	0.5	0.0	21
27	0	0.5	0.05	9
27	0	0.5	0.1	11
27	0	0.5	0.15	10
27	0	0.5	0.2	16
27	0	0.5	0.25	7
27	0	0.5	0.3	10
27	0	0.5	0.35	5
27	0	0.5	0.4	8
27	0	0.5	0.45	3
27	0	0.5	0.5	8
27	0	0.5	0.55	10
27	0	0.5	0.6	6
27	0	0.5	0.65	8
27	0	0.5	0.7	4
27	0	0.5	0.75	5
27	0	0.5	0.8	4
27	0	0.5	0.85	4
27	0	0.5	0.9	2
27	0	0.5	0.95	1
27	0	0.55	0.0	10
27	0	0.55	0.05	4
27	0	0.55	0.1	5
27	0	0.55	0.15	4
27	0	0.55	0.2	5
27	0	0.55	0.25	6
27	0	0.55	0.3	7
27	0	0.55	0.35	7
27	0	0.55	0.4	6
27	0	0.55	0.45	5
27	0	0.55	0.5	6
27	0	0.55	0.55	6
27	0	0.55	0.6	5
27	0	0.55	0.65	4
27	0	0.55	0.7	2
27	0	0.55	0.75	3
27	0	0.55	0.8	4
27	0	0.55	0.85	4
27	0	0.55	0.9	3
27	0	0.55	0.95	2
27	0	0.55	1.0	2
27	0	0.6	0.0	7
27	0	0.6	0.05	6
27	0	0.6	0.1	4
27	0	0.6	0.15	5
27	0	0.6	0.2	5
27	0	0.6	0.25	9
27	0	0.6	0.3	5
27	0	0.6	0.35	4
27	0	0.6	0.4	8
27	0	0.6	0.45	8
27	0	0.6	0.5	5
27	0	0.6	0.55	3
27	0	0.6	0.6	7
27	0	0.6	0.65	2
27	0	0.6	0.7	1
27	0	0.6	0.75	7
27	0	0.6	0.8	2
27	0	0.6	0.85	4
27	0	0.6	0.9	3
27	0	0.6	0.95	2
27	0	0.6	1.0	2
27	0	0.65	0.0	1
27	0	0.65	0.05	3
27	0	0.65	0.1	2
27	0	0.65	0.15	3
27	0	0.65	0.2	1
27	0	0.65	0.25	9
27	0	0.65	0.3	5
27	0	0.65	0.35	2
27	0	0.65	0.4	6
27	0	0.65	0.45	2
27	0	0.65	0.5	8
27	0	0.65	0.55	9
27	0	0.65	0.6	1
27	0	0.65	0.65	4
27	0	0.65	0.7	2
27	0	0.65	0.75	4
27	0	0.65	0.8	2
27	0	0.65	0.85	4
27	0	0.65	0.9	1
27	0	0.65	0.95	1
27	0	0.65	1.0	1
27	0	0.7	0.0	1
27	0	0.7	0.1	2
27	0	0.7	0.2	1
27	0	0.7	0.25	2
27	0	0.7	0.3	2
27	0	0.7	0.35	4
27	0	0.7	0.4	4
27	0	0.7	0.45	3
27	0	0.7	0.5	4
27	0	0.7	0.55	3
27	0	0.7	0.6	2
27	0	0.7	0.65	3
27	0	0.7	0.7	2
27	0	0.7	0.75	2
27	0	0.7	0.8	3
27	0	0.7	0.85	1
27	0	0.7	0.9	1
27	0	0.7	0.95	4
27	0	0.75	0.0	1
27	0	0.75	0.05	1
27	0	0.75	0.1	1
27	0	0.75	0.2	1
27	0	0.75	0.25	3
27	0	0.75	0.3	1
27	0	0.75	0.35	3
27	0	0.75	0.4	1
27	0	0.75	0.55	2
27	0	0.75	0.6	1
27	0	0.75	0.65	1
27	0	0.75	0.7	4
27	0	0.75	0.75	1
27	0	0.75	0.8	3
27	0	0.75	0.85	1
27	0	0.75	0.9	2
27	0	0.75	0.95	1
27	0	0.75	1.0	3
27	0	0.8	0.1	1
27	0	0.8	0.15	2
27	0	0.8	0.2	1
27	0	0.8	0.25	1
27	0	0.8	0.3	2
27	0	0.8	0.35	1
27	0	0.8	0.4	1
27	0	0.8	0.45	2
27	0	0.8	0.5	3
27	0	0.8	0.55	2
27	0	0.8	0.65	1
27	0	0.8	0.7	1
27	0	0.8	0.75	2
27	0	0.8	0.8	1
27	0	0.8	0.85	4
27	0	0.8	0.9	2
27	0	0.8	0.95	4
27	0	0.8	1.0	3
27	0	0.85	0.25	2
27	0	0.85	0.4	1
27	0	0.85	0.45	1
27	0	0.85	0.55	1
27	0	0.85	0.6	1
27	0	0.85	0.7	1
27	0	0.85	0.75	2
27	0	0.85	0.8	2
27	0	0.85	0.85	1
27	0	0.85	1.0	2
27	0	0.9	0.35	1
27	0	0.9	0.45	1
27	0	0.9	0.5	1
27	0	0.9	0.55	1
27	0	0.9	0.6	2
27	0	0.9	0.65	1
27	0	0.9	0.8	2
27	0	0.9	0.9	1
27	0	0.9	1.0	3
27	0	0.95	0.15	1
27	0	0.95	0.3	1
27	0	0.95	0.35	1
27	0	0.95	0.7	1
27	0	0.95	0.8	2
27	0	0.95	0.85	1
27	0	0.95	0.95	1
27	0	0.95	1.0	6
27	0	1.0	0.7	1
27	0	1.0	0.8	1
27	0	1.0	0.9	1
27	1	0.0	0.05	152
27	1	0.0	0.1	61
27	1	0.0	0.15	27
27	1	0.0	0.2	17
27	1	0.0	0.25	16
27	1	0.0	0.3	6
27	1	0.0	0.35	4
27	1	0.0	0.4	6
27	1	0.0	0.45	1
27	1	0.0	0.5	1
27	1	0.0	0.55	1
27	1	0.05	0.0	581
27	1	0.05	0.05	21
27	1	0.05	0.1	22
27	1	0.05	0.15	14
27	1	0.05	0.2	10
27	1	0.05	0.25	6
27	1	0.05	0.3	5
27	1	0.05	0.35	8
27	1	0.05	0.4	4
27	1	0.05	0.45	3
27	1	0.05	0.5	3
27	1	0.05	0.55	1
27	1	0.05	0.6	3
27	1	0.05	0.7	2
27	1	0.05	0.9	1
27	1	0.1	0.0	385
27	1	0.1	0.05	23
27	1	0.1	0.1	19
27	1	0.1	0.15	15
27	1	0.1	0.2	15
27	1	0.1	0.25	12
27	1	0.1	0.3	6
27	1	0.1	0.35	13
27	1	0.1	0.4	4
27	1	0.1	0.45	2
27	1	0.1	0.5	3
27	1	0.1	0.55	3
27	1	0.1	0.6	3
27	1	0.1	0.7	1
27	1	0.15	0.0	225
27	1	0.15	0.05	32
27	1	0.15	0.1	22
27	1	0.15	0.15	22
27	1	0.15	0.2	10
27	1	0.15	0.25	15
27	1	0.15	0.3	17
27	1	0.15	0.35	9
27	1	0.15	0.4	10
27	1	0.15	0.45	6
27	1	0.15	0.5	8
27	1	0.15	0.55	2
27	1	0.15	0.6	2
27	1	0.15	0.65	2
27	1	0.15	0.75	1
27	1	0.15	0.95	1
27	1	0.2	0.0	164
27	1	0.2	0.05	25
27	1	0.2	0.1	18
27	1	0.2	0.15	24
27	1	0.2	0.2	14
27	1	0.2	0.25	9
27	1	0.2	0.3	12
27	1	0.2	0.35	8
27	1	0.2	0.4	7
27	1	0.2	0.45	9
27	1	0.2	0.5	5
27	1	0.2	0.55	7
27	1	0.2	0.6	5
27	1	0.2	0.65	4
27	1	0.2	0.7	2
27	1	0.2	0.75	1
27	1	0.2	0.8	1
27	1	0.2	0.9	1
27	1	0.25	0.0	87
27	1	0.25	0.05	27
27	1	0.25	0.1	26
27	1	0.25	0.15	12
27	1	0.25	0.2	14
27	1	0.25	0.25	15
27	1	0.25	0.3	5
27	1	0.25	0.35	7
27	1	0.25	0.4	7
27	1	0.25	0.45	12
27	1	0.25	0.5	6
27	1	0.25	0.55	6
27	1	0.25	0.6	10
27	1	0.25	0.65	5
27	1	0.25	0.7	5
27	1	0.25	0.75	2
27	1	0.25	0.8	1
27	1	0.25	0.85	1
27	1	0.25	1.0	1
27	1	0.3	0.0	75
27	1	0.3	0.05	25
27	1	0.3	0.1	17
27	1	0.3	0.15	13
27	1	0.3	0.2	12
27	1	0.3	0.25	11
27	1	0.3	0.3	5
27	1	0.3	0.35	11
27	1	0.3	0.4	11
27	1	0.3	0.45	12
27	1	0.3	0.5	8
27	1	0.3	0.55	4
27	1	0.3	0.6	4
27	1	0.3	0.65	4
27	1	0.3	0.7	5
27	1	0.3	0.75	3
27	1	0.3	0.9	1
27	1	0.3	0.95	2
27	1	0.3	1.0	1
27	1	0.35	0.0	59
27	1	0.35	0.05	18
27	1	0.35	0.1	8
27	1	0.35	0.15	10
27	1	0.35	0.2	14
27	1	0.35	0.25	19
27	1	0.35	0.3	10
27	1	0.35	0.35	13
27	1	0.35	0.4	12
27	1	0.35	0.45	6
27	1	0.35	0.5	1
27	1	0.35	0.55	5
27	1	0.35	0.6	6
27	1	0.35	0.65	2
27	1	0.35	0.7	3
27	1	0.35	0.75	1
27	1	0.35	0.8	1
27	1	0.35	0.85	3
27	1	0.35	0.9	2
27	1	0.4	0.0	40
27	1	0.4	0.05	7
27	1	0.4	0.1	11
27	1	0.4	0.15	8
27	1	0.4	0.2	11
27	1	0.4	0.25	14
27	1	0.4	0.3	13
27	1	0.4	0.35	10
27	1	0.4	0.4	12
27	1	0.4	0.45	4
27	1	0.4	0.5	7
27	1	0.4	0.55	6
27	1	0.4	0.6	5
27	1	0.4	0.65	7
27	1	0.4	0.7	4
27	1	0.4	0.75	2
27	1	0.4	0.85	4
27	1	0.4	0.9	3
27	1	0.4	0.95	1
27	1	0.4	1.0	1
27	1	0.45	0.0	18
27	1	0.45	0.05	11
27	1	0.45	0.1	12
27	1	0.45	0.15	11
27	1	0.45	0.2	12
27	1	0.45	0.25	4
27	1	0.45	0.3	7
27	1	0.45	0.35	10
27	1	0.45	0.4	7
27	1	0.45	0.45	4
27	1	0.45	0.5	6
27	1	0.45	0.55	2
27	1	0.45	0.6	1
27	1	0.45	0.65	3
27	1	0.45	0.7	2
27	1	0.45	0.75	1
27	1	0.45	0.8	2
27	1	0.45	0.85	1
27	1	0.45	0.9	1
27	1	0.5	0.0	14
27	1	0.5	0.05	7
27	1	0.5	0.1	8
27	1	0.5	0.15	4
27	1	0.5	0.2	6
27	1	0.5	0.25	10
27	1	0.5	0.3	10
27	1	0.5	0.35	8
27	1	0.5	0.4	4
27	1	0.5	0.45	5
27	1	0.5	0.5	9
27	1	0.5	0.55	1
27	1	0.5	0.6	3
27	1	0.5	0.65	7
27	1	0.5	0.7	5
27	1	0.5	0.75	6
27	1	0.5	0.8	4
27	1	0.5	0.85	2
27	1	0.5	0.95	1
27	1	0.55	0.0	8
27	1	0.55	0.05	2
27	1	0.55	0.1	6
27	1	0.55	0.15	1
27	1	0.55	0.2	2
27	1	0.55	0.25	7
27	1	0.55	0.3	7
27	1	0.55	0.35	7
27	1	0.55	0.4	7
27	1	0.55	0.45	3
27	1	0.55	0.5	4
27	1	0.55	0.55	6
27	1	0.55	0.65	3
27	1	0.55	0.7	3
27	1	0.55	0.75	4
27	1	0.55	0.8	1
27	1	0.55	0.85	2
27	1	0.55	0.9	5
27	1	0.55	0.95	3
27	1	0.55	1.0	1
27	1	0.6	0.0	5
27	1	0.6	0.05	5
27	1	0.6	0.1	2
27	1	0.6	0.15	6
27	1	0.6	0.2	2
27	1	0.6	0.25	6
27	1	0.6	0.3	5
27	1	0.6	0.35	10
27	1	0.6	0.4	7
27	1	0.6	0.45	6
27	1	0.6	0.5	5
27	1	0.6	0.55	1
27	1	0.6	0.6	13
27	1	0.6	0.65	2
27	1	0.6	0.7	1
27	1	0.6	0.75	5
27	1	0.6	0.8	1
27	1	0.6	0.85	6
27	1	0.6	0.9	1
27	1	0.6	0.95	1
27	1	0.6	1.0	5
27	1	0.65	0.0	1
27	1	0.65	0.05	2
27	1	0.65	0.1	3
27	1	0.65	0.15	8
27	1	0.65	0.2	2
27	1	0.65	0.25	2
27	1	0.65	0.3	2
27	1	0.65	0.35	4
27	1	0.65	0.4	6
27	1	0.65	0.45	5
27	1	0.65	0.5	5
27	1	0.65	0.55	6
27	1	0.65	0.6	5
27	1	0.65	0.65	2
27	1	0.65	0.7	6
27	1	0.65	0.8	3
27	1	0.65	0.85	1
27	1	0.65	0.9	2
27	1	0.65	1.0	4
27	1	0.7	0.0	1
27	1	0.7	0.1	1
27	1	0.7	0.15	6
27	1	0.7	0.2	3
27	1	0.7	0.25	4
27	1	0.7	0.3	2
27	1	0.7	0.35	6
27	1	0.7	0.45	1
27	1	0.7	0.5	2
27	1	0.7	0.6	3
27	1	0.7	0.65	7
27	1	0.7	0.7	5
27	1	0.7	0.75	2
27	1	0.7	0.8	3
27	1	0.7	0.85	1
27	1	0.7	0.9	1
27	1	0.7	0.95	1
27	1	0.7	1.0	2
27	1	0.75	0.05	1
27	1	0.75	0.1	1
27	1	0.75	0.15	2
27	1	0.75	0.2	2
27	1	0.75	0.25	1
27	1	0.75	0.3	1
27	1	0.75	0.35	2
27	1	0.75	0.4	1
27	1	0.75	0.45	2
27	1	0.75	0.5	4
27	1	0.75	0.55	1
27	1	0.75	0.6	4
27	1	0.75	0.65	6
27	1	0.75	0.7	5
27	1	0.75	0.75	1
27	1	0.75	0.9	1
27	1	0.75	0.95	2
27	1	0.75	1.0	3
27	1	0.8	0.0	1
27	1	0.8	0.1	1
27	1	0.8	0.2	1
27	1	0.8	0.3	5
27	1	0.8	0.35	3
27	1	0.8	0.4	1
27	1	0.8	0.45	2
27	1	0.8	0.5	2
27	1	0.8	0.55	1
27	1	0.8	0.6	1
27	1	0.8	0.65	2
27	1	0.8	0.7	4
27	1	0.8	0.75	2
27	1	0.8	0.8	1
27	1	0.8	0.85	2
27	1	0.8	0.9	1
27	1	0.8	0.95	1
27	1	0.8	1.0	4
27	1	0.85	0.35	1
27	1	0.85	0.5	1
27	1	0.85	0.55	2
27	1	0.85	0.65	2
27	1	0.85	0.7	1
27	1	0.85	0.75	2
27	1	0.85	0.8	2
27	1	0.85	0.9	1
27	1	0.85	1.0	2
27	1	0.9	0.0	1
27	1	0.9	0.15	1
27	1	0.9	0.25	2
27	1	0.9	0.3	1
27	1	0.9	0.35	1
27	1	0.9	0.55	1
27	1	0.9	0.6	2
27	1	0.9	0.65	4
27	1	0.9	0.75	1
27	1	0.9	0.8	1
27	1	0.9	0.85	1
27	1	0.9	0.95	3
27	1	0.9	1.0	2
27	1	0.95	0.15	1
27	1	0.95	0.25	1
27	1	0.95	0.3	1
27	1	0.95	0.55	1
27	1	0.95	0.65	2
27	1	0.95	0.7	4
27	1	0.95	0.9	2
27	1	0.95	0.95	2
27	1	0.95	1.0	1
27	1	1.0	0.7	1
27	1	1.0	0.8	3
27	1	1.0	0.85	1
27	1	1.0	0.9	2
27	1	1.0	0.95	1
27	10	0.1	0.0	1
27	10	0.1	0.8	1
27	10	0.15	0.3	1
27	10	0.2	0.1	1
27	10	0.9	0.25	1
27	11	0.0	0.05	1
27	11	0.05	0.5	1
27	11	0.1	0.0	1
27	11	0.1	0.4	1
27	11	0.1	0.55	1
27	11	0.2	0.05	1
27	11	0.2	0.15	1
27	11	0.3	0.35	1
27	11	0.35	0.0	1
27	11	0.5	0.05	1
27	11	0.65	0.6	1
27	12	0.0	0.55	1
27	12	0.05	0.0	1
27	12	0.1	0.0	1
27	12	0.1	0.05	1
27	12	0.1	0.55	1
27	12	0.2	0.5	1
27	12	0.35	0.0	1
27	12	0.4	0.0	1
27	12	0.4	0.2	1
27	12	0.4	0.55	1
27	12	0.5	0.55	1
27	13	0.05	0.45	1
27	13	0.1	0.0	2
27	13	0.1	0.2	1
27	13	0.15	0.4	1
27	13	0.15	0.9	1
27	13	0.2	0.4	1
27	13	0.4	0.5	1
27	13	0.4	0.95	1
27	13	0.55	0.35	1
27	13	0.6	0.8	1
27	14	0.0	0.05	1
27	14	0.0	0.25	1
27	14	0.05	0.0	1
27	14	0.15	0.0	2
27	14	0.15	0.4	1
27	14	0.2	0.15	1
27	14	0.25	0.45	1
27	14	0.35	0.0	1
27	14	0.4	0.3	1
27	14	0.45	0.0	1
27	14	0.45	0.6	1
27	14	0.5	0.45	1
27	14	0.55	0.15	1
27	14	0.65	0.35	1
27	14	0.65	0.75	1
27	14	0.7	0.65	1
27	14	0.75	0.6	1
27	14	0.95	0.35	1
27	14	1.0	0.25	1
27	15	0.05	0.0	1
27	15	0.05	0.15	1
27	15	0.2	0.3	1
27	15	0.2	0.75	1
27	15	0.3	0.1	1
27	15	0.35	0.2	1
27	15	0.35	0.35	1
27	15	0.45	0.7	1
27	16	0.05	0.0	2
27	16	0.1	0.15	1
27	16	0.15	0.0	1
27	16	0.15	0.1	1
27	16	0.15	0.2	1
27	16	0.2	0.0	1
27	16	0.25	0.35	1
27	16	0.3	0.0	1
27	16	0.35	0.55	1
27	16	0.45	0.55	1
27	16	0.55	0.2	1
27	16	0.55	0.6	1
27	16	0.65	0.85	1
27	17	0.15	0.0	1
27	17	0.15	0.45	1
27	17	0.15	0.65	1
27	17	0.2	0.15	1
27	17	0.2	0.65	1
27	17	0.3	0.0	1
27	17	0.3	0.5	1
27	17	0.45	0.05	1
27	17	0.45	0.2	1
27	17	0.65	0.9	1
27	18	0.0	0.2	1
27	18	0.0	0.3	1
27	18	0.05	0.0	2
27	18	0.05	0.35	1
27	18	0.1	0.15	1
27	18	0.1	0.6	1
27	18	0.15	0.05	1
27	18	0.2	0.35	1
27	18	0.25	0.0	1
27	18	0.3	0.55	1
27	18	0.3	0.65	1
27	18	0.4	0.35	1
27	18	0.7	0.2	1
27	18	0.8	0.85	1
27	19	0.0	0.2	1
27	19	0.05	0.0	2
27	19	0.15	0.1	1
27	19	0.2	0.0	1
27	19	0.3	0.05	1
27	19	0.35	0.15	1
27	2	0.0	0.05	1
27	2	0.0	0.2	1
27	2	0.05	0.0	30
27	2	0.05	0.1	1
27	2	0.05	0.35	2
27	2	0.05	0.45	1
27	2	0.05	0.55	1
27	2	0.1	0.0	36
27	2	0.1	0.05	2
27	2	0.1	0.1	1
27	2	0.1	0.15	1
27	2	0.1	0.2	1
27	2	0.1	0.25	1
27	2	0.1	0.3	1
27	2	0.1	0.45	1
27	2	0.1	0.5	1
27	2	0.15	0.0	25
27	2	0.15	0.05	6
27	2	0.15	0.1	5
27	2	0.15	0.15	2
27	2	0.15	0.2	2
27	2	0.15	0.25	2
27	2	0.15	0.3	1
27	2	0.15	0.35	2
27	2	0.15	0.4	1
27	2	0.15	0.45	1
27	2	0.15	0.6	1
27	2	0.15	0.65	1
27	2	0.15	0.8	1
27	2	0.2	0.0	22
27	2	0.2	0.05	3
27	2	0.2	0.1	6
27	2	0.2	0.15	2
27	2	0.2	0.2	2
27	2	0.2	0.25	3
27	2	0.2	0.3	4
27	2	0.2	0.35	2
27	2	0.2	0.4	2
27	2	0.2	0.45	1
27	2	0.2	0.6	2
27	2	0.25	0.0	19
27	2	0.25	0.05	4
27	2	0.25	0.1	1
27	2	0.25	0.15	4
27	2	0.25	0.2	3
27	2	0.25	0.25	7
27	2	0.25	0.3	2
27	2	0.25	0.35	2
27	2	0.25	0.4	2
27	2	0.25	0.5	1
27	2	0.25	0.55	1
27	2	0.25	0.7	1
27	2	0.25	0.75	2
27	2	0.3	0.0	17
27	2	0.3	0.05	3
27	2	0.3	0.1	5
27	2	0.3	0.15	3
27	2	0.3	0.2	5
27	2	0.3	0.3	3
27	2	0.3	0.35	3
27	2	0.3	0.4	3
27	2	0.3	0.45	1
27	2	0.3	0.5	3
27	2	0.3	0.55	3
27	2	0.3	0.6	3
27	2	0.3	0.7	1
27	2	0.3	0.8	1
27	2	0.3	0.95	1
27	2	0.35	0.0	16
27	2	0.35	0.05	3
27	2	0.35	0.1	4
27	2	0.35	0.15	3
27	2	0.35	0.2	4
27	2	0.35	0.25	1
27	2	0.35	0.3	2
27	2	0.35	0.35	2
27	2	0.35	0.4	4
27	2	0.35	0.45	2
27	2	0.35	0.5	2
27	2	0.35	0.55	3
27	2	0.35	0.65	1
27	2	0.35	0.7	1
27	2	0.35	0.75	1
27	2	0.35	0.85	3
27	2	0.4	0.0	4
27	2	0.4	0.05	3
27	2	0.4	0.1	3
27	2	0.4	0.15	5
27	2	0.4	0.2	6
27	2	0.4	0.25	3
27	2	0.4	0.3	7
27	2	0.4	0.35	2
27	2	0.4	0.4	3
27	2	0.4	0.5	1
27	2	0.4	0.55	3
27	2	0.4	0.6	1
27	2	0.4	0.7	1
27	2	0.4	0.85	2
27	2	0.45	0.0	10
27	2	0.45	0.05	2
27	2	0.45	0.1	6
27	2	0.45	0.15	3
27	2	0.45	0.2	1
27	2	0.45	0.25	2
27	2	0.45	0.3	3
27	2	0.45	0.35	1
27	2	0.45	0.4	5
27	2	0.45	0.45	2
27	2	0.45	0.5	6
27	2	0.45	0.55	2
27	2	0.45	0.6	3
27	2	0.45	0.65	1
27	2	0.45	0.8	1
27	2	0.45	0.9	1
27	2	0.45	0.95	1
27	2	0.5	0.0	3
27	2	0.5	0.05	1
27	2	0.5	0.1	3
27	2	0.5	0.15	4
27	2	0.5	0.2	2
27	2	0.5	0.25	2
27	2	0.5	0.3	6
27	2	0.5	0.35	4
27	2	0.5	0.4	2
27	2	0.5	0.45	1
27	2	0.5	0.55	1
27	2	0.5	0.6	2
27	2	0.5	0.65	2
27	2	0.5	0.7	2
27	2	0.5	0.75	1
27	2	0.5	0.8	1
27	2	0.5	1.0	1
27	2	0.55	0.0	5
27	2	0.55	0.1	2
27	2	0.55	0.2	3
27	2	0.55	0.25	1
27	2	0.55	0.3	1
27	2	0.55	0.35	2
27	2	0.55	0.4	2
27	2	0.55	0.5	6
27	2	0.55	0.55	3
27	2	0.55	0.6	3
27	2	0.55	0.65	2
27	2	0.55	0.7	1
27	2	0.55	0.9	1
27	2	0.6	0.0	2
27	2	0.6	0.05	1
27	2	0.6	0.1	2
27	2	0.6	0.15	3
27	2	0.6	0.25	3
27	2	0.6	0.3	2
27	2	0.6	0.4	3
27	2	0.6	0.45	4
27	2	0.6	0.5	2
27	2	0.6	0.6	3
27	2	0.6	0.7	1
27	2	0.6	0.75	2
27	2	0.6	0.85	1
27	2	0.6	0.95	1
27	2	0.6	1.0	1
27	2	0.65	0.0	2
27	2	0.65	0.05	1
27	2	0.65	0.1	1
27	2	0.65	0.15	2
27	2	0.65	0.2	2
27	2	0.65	0.25	2
27	2	0.65	0.3	2
27	2	0.65	0.35	1
27	2	0.65	0.4	4
27	2	0.65	0.45	1
27	2	0.65	0.5	1
27	2	0.65	0.55	3
27	2	0.65	0.6	1
27	2	0.65	0.7	2
27	2	0.65	0.75	1
27	2	0.65	1.0	2
27	2	0.7	0.0	1
27	2	0.7	0.1	2
27	2	0.7	0.15	1
27	2	0.7	0.25	1
27	2	0.7	0.35	1
27	2	0.7	0.4	2
27	2	0.7	0.5	1
27	2	0.7	0.55	4
27	2	0.7	0.75	3
27	2	0.7	0.8	3
27	2	0.7	0.95	1
27	2	0.7	1.0	4
27	2	0.75	0.1	1
27	2	0.75	0.3	1
27	2	0.75	0.35	3
27	2	0.75	0.4	1
27	2	0.75	0.5	4
27	2	0.75	0.55	2
27	2	0.75	0.6	4
27	2	0.75	0.65	1
27	2	0.75	0.7	2
27	2	0.75	0.8	1
27	2	0.75	0.85	2
27	2	0.75	0.9	1
27	2	0.75	0.95	1
27	2	0.75	1.0	1
27	2	0.8	0.0	1
27	2	0.8	0.1	1
27	2	0.8	0.15	2
27	2	0.8	0.3	1
27	2	0.8	0.55	1
27	2	0.8	0.75	1
27	2	0.8	0.8	2
27	2	0.8	0.85	3
27	2	0.8	0.9	2
27	2	0.8	0.95	2
27	2	0.85	0.1	1
27	2	0.85	0.2	1
27	2	0.85	0.45	1
27	2	0.85	0.6	1
27	2	0.85	0.65	1
27	2	0.85	0.8	3
27	2	0.85	0.85	1
27	2	0.85	0.95	1
27	2	0.85	1.0	2
27	2	0.9	0.0	2
27	2	0.9	0.35	1
27	2	0.9	0.5	2
27	2	0.9	0.55	1
27	2	0.9	0.6	1
27	2	0.9	0.65	1
27	2	0.9	0.8	1
27	2	0.9	0.9	1
27	2	0.9	1.0	3
27	2	0.95	0.05	1
27	2	0.95	0.3	1
27	2	0.95	0.5	1
27	2	0.95	0.7	2
27	2	0.95	0.75	1
27	2	0.95	0.9	2
27	2	0.95	1.0	1
27	2	1.0	0.5	1
27	2	1.0	0.6	2
27	2	1.0	0.75	1
27	2	1.0	0.9	1
27	20	0.0	0.05	1
27	20	0.05	0.0	1
27	20	0.15	0.0	1
27	20	0.25	0.0	1
27	20	0.35	0.25	1
27	20	0.45	0.3	1
27	20	0.8	0.75	1
27	20	0.9	0.55	1
27	21	0.0	0.05	1
27	21	0.0	0.65	1
27	21	0.25	0.8	1
27	21	0.35	0.1	1
27	21	0.5	0.75	1
27	21	0.55	0.65	1
27	22	0.6	0.1	1
27	23	0.35	0.0	1
27	24	0.95	0.95	1
27	25	0.55	0.65	1
27	26	0.0	0.2	1
27	26	0.05	0.0	1
27	3	0.05	0.0	3
27	3	0.05	0.45	1
27	3	0.1	0.0	3
27	3	0.1	0.2	1
27	3	0.15	0.0	3
27	3	0.15	0.05	1
27	3	0.2	0.0	4
27	3	0.2	0.15	1
27	3	0.2	0.55	1
27	3	0.25	0.0	1
27	3	0.25	0.1	1
27	3	0.25	0.2	1
27	3	0.25	0.25	1
27	3	0.25	0.35	3
27	3	0.3	0.0	2
27	3	0.3	0.05	3
27	3	0.3	0.15	1
27	3	0.3	0.2	4
27	3	0.3	0.65	1
27	3	0.35	0.0	1
27	3	0.35	0.1	1
27	3	0.35	0.25	1
27	3	0.35	0.65	1
27	3	0.4	0.0	3
27	3	0.4	0.05	1
27	3	0.4	0.15	3
27	3	0.4	0.2	1
27	3	0.4	0.25	1
27	3	0.4	0.35	1
27	3	0.4	0.4	1
27	3	0.4	0.55	2
27	3	0.4	0.7	1
27	3	0.45	0.0	8
27	3	0.45	0.1	2
27	3	0.45	0.15	2
27	3	0.45	0.2	3
27	3	0.45	0.3	1
27	3	0.45	0.35	1
27	3	0.45	0.45	1
27	3	0.45	0.55	2
27	3	0.5	0.0	1
27	3	0.5	0.15	1
27	3	0.5	0.45	1
27	3	0.5	0.5	2
27	3	0.5	0.55	1
27	3	0.5	0.65	1
27	3	0.5	0.9	1
27	3	0.55	0.1	1
27	3	0.55	0.15	1
27	3	0.55	0.25	1
27	3	0.55	0.3	1
27	3	0.55	0.6	1
27	3	0.55	0.75	1
27	3	0.6	0.0	2
27	3	0.6	0.05	1
27	3	0.6	0.15	1
27	3	0.6	0.4	1
27	3	0.6	0.5	2
27	3	0.6	0.6	1
27	3	0.6	0.7	1
27	3	0.6	0.9	1
27	3	0.6	1.0	1
27	3	0.65	0.1	1
27	3	0.65	0.15	2
27	3	0.65	0.2	1
27	3	0.65	0.35	2
27	3	0.65	0.4	1
27	3	0.65	0.5	2
27	3	0.65	0.55	1
27	3	0.65	0.6	1
27	3	0.65	0.85	2
27	3	0.65	0.9	1
27	3	0.7	0.15	1
27	3	0.7	0.2	1
27	3	0.7	0.25	1
27	3	0.7	0.3	1
27	3	0.7	0.4	1
27	3	0.7	0.8	1
27	3	0.7	0.9	1
27	3	0.75	0.15	1
27	3	0.75	0.55	1
27	3	0.75	0.7	1
27	3	0.75	0.95	1
27	3	0.8	0.2	1
27	3	0.8	0.35	2
27	3	0.8	0.45	1
27	3	0.8	0.5	1
27	3	0.8	0.8	1
27	3	0.8	0.95	1
27	3	0.85	0.75	1
27	3	0.85	1.0	1
27	3	0.9	0.25	1
27	3	0.9	0.35	1
27	3	0.9	0.65	1
27	3	0.9	0.8	2
27	3	0.9	0.95	1
27	3	0.9	1.0	2
27	3	0.95	0.4	1
27	3	0.95	0.45	1
27	3	0.95	0.7	1
27	3	0.95	1.0	1
27	3	1.0	0.55	1
27	3	1.0	0.7	1
27	3	1.0	0.8	1
27	3	1.0	0.9	1
27	4	0.2	0.0	1
27	4	0.25	0.0	1
27	4	0.25	0.45	1
27	4	0.3	0.0	2
27	4	0.35	0.35	1
27	4	0.4	0.0	1
27	4	0.45	0.0	1
27	4	0.45	0.05	1
27	4	0.5	0.0	1
27	4	0.5	0.1	1
27	4	0.5	0.2	1
27	4	0.5	0.35	1
27	4	0.5	0.45	1
27	4	0.5	0.6	1
27	4	0.5	0.75	1
27	4	0.5	0.9	1
